,MEHP950101,KOSJ950113,KOSJ950110,OVEJ920103,DAYM780302,MUET010101,LUTR910102,DOSZ010104,FEND850101,LUTR910107,KOSJ950104,OVEJ920105,LUTR910108,GONG920101,ALTS910101,PRLA000101,NGPC000101,PRLA000102,BENS940102,GRAR740104,RUSR970103,KOSJ950115,TUDE900101,FITW660101,LUTR910106,KOSJ950112,OGAK980101,NIEK910101,JOHM930101,AZAE970102,LUTR910101,GEOD900101,AZAE970101,LUTR910105,MOHR870101,BENS940104,KOSJ950105,BENS940101,KOSJ950107,MEHP950102,NAOD960101,DAYM780301,MEHP950103,KAPO950101,LEVJ860101,BENS940103,KOSJ950106,MCLA720101,HENS920104,RUSR970102,RIER950101,KOSJ950109,MUET020102,VOGG950101,NIEK910102,OVEJ920101,MCLA710101,MIYT790101,DOSZ010102,OVEJ920102,CSEM940101,LINK010101,RUSR970101,LUTR910103,HENS920102,HENS920101,JOND920103,LUTR910109,KOSJ950108,WEIL970101,MIYS930101,KANM000101,JOND940101,QUIB020101,DOSZ010103,RISJ880101,BLAJ010101,CROG050101,KOSJ950103,MUET020101,KOSJ950101,KOSJ950102,KOSJ950111,OVEJ920104,KOLA920101,HENS920103,LUTR910104,WEIL970102,GIAG010101,DOSZ010101,KOSJ950114
L-Q,1.01,0.8,0.7,0.026000000000000002,-4.0,-3.5,-12.0,-3.02,2.0,-6.0,2.1,0.032,-14.0,-1.6,-2.0,-1.49,-3.0,-4.56,-2.0,113.0,-2.0,1.0,-26.0,1.0,-9.0,1.5,-7.4,0.29,-4.4,-9.0,-2.0,7.0,-9.0,-13.0,9.0,0.1,0.6,-2.4,2.4,1.07,-5.0,-2.0,0.8,13.3,-1.0,-1.7,0.1,0.0,-4.0,-5.0,57.0,0.7,-2.0,3.6,0.35,-3.0,3.0,2.7,-7.44,0.040999999999999995,-0.3,0.002,-2.0,-13.0,-3.0,-2.0,-2.0,-12.0,1.2,0.0,-0.74,-23.0,-2.0,-1.2,-0.8,1.1,-10.0,-3.0,0.1,-2.0,1.1,2.1,1.0,0.027999999999999997,9.0,-4.0,-7.0,2.0,1.4,-8.2,0.9
L-R,1.02,1.2,0.2,0.031,-8.0,-4.5,-10.0,-3.07,2.0,-7.0,1.0,0.038,-10.0,-2.2,-4.0,-1.19,-6.0,-2.83,-2.9,102.0,-2.0,0.7,-24.0,1.0,-12.0,0.6,-7.9,0.0,-3.7,-7.0,-4.0,3.0,-8.0,-8.0,6.0,-0.4,0.2,-3.2,1.0,1.05,-5.0,-3.0,0.82,12.2,-1.0,-2.4,0.1,0.0,-6.0,-2.0,6.0,0.6,-2.0,3.0,0.03,-3.0,2.0,2.62,-6.81,0.027999999999999997,-0.2,0.011000000000000001,-2.0,-7.0,-3.0,-2.0,-3.0,-10.0,0.2,-1.0,-0.74,-20.0,-3.0,-1.5,-1.4,1.2,-4.0,-3.0,3.1,-3.0,0.6,0.6,2.2,0.027000000000000003,6.6,-4.0,-3.0,1.0,-0.5,-5.7,0.3
L-S,1.01,0.3,0.3,0.025,-7.0,-1.5,-25.0,-3.72,2.0,-10.0,0.1,0.027000000000000003,-15.0,-2.1,-4.0,-2.3,-2.0,-6.22,-2.1,145.0,0.0,0.2,-11.0,1.0,-15.0,0.1,-6.4,-0.61,-5.2,-6.0,-5.0,7.0,-7.0,-15.0,8.0,-1.2,0.6,-1.5,0.1,1.09,-5.0,-3.0,0.74,12.2,-1.0,-2.2,0.1,0.0,-6.0,-2.0,86.0,0.3,-2.0,3.1,-0.66,-4.0,2.0,3.04,-9.58,0.028999999999999998,-0.19,0.01,-1.0,-12.0,-4.0,-3.0,-2.0,-15.0,0.2,-1.0,-0.7,-22.0,-2.0,-0.8,-2.1,1.3,-4.0,-3.0,0.3,-3.0,0.1,1.2,0.3,0.019,0.0,-4.0,-10.0,1.0,-0.1,-5.1,0.1
L-T,0.9,0.6,0.3,0.027999999999999997,-6.0,0.5,-18.0,-1.49,2.0,-9.0,0.5,0.022000000000000002,-9.0,-1.3,-3.0,-0.86,-1.0,-2.4,-1.0,92.0,-1.0,0.6,-11.0,2.0,-11.0,0.7,-6.2,-0.31,-4.6,-4.0,-4.0,8.0,-6.0,-12.0,9.0,-1.9,0.2,-0.4,0.4,1.18,-3.0,-2.0,0.84,14.3,0.0,-1.1,0.3,0.0,-2.0,0.0,90.0,0.7,-1.0,3.9,-0.36,-3.0,3.0,2.25,-7.08,0.026000000000000002,-0.04,0.017,-3.0,-6.0,-2.0,-1.0,-1.0,-12.0,0.6,0.0,-0.77,-13.0,-1.0,0.3,0.9,1.2,-5.0,-2.0,1.0,-2.0,0.7,0.1,0.8,0.028999999999999998,0.0,-3.0,-6.0,1.0,-0.1,-5.3,0.4
L-V,0.88,2.6,4.2,0.11900000000000001,-2.0,2.5,8.0,3.28,5.0,14.0,2.9,0.13,-4.0,1.8,1.0,0.81,1.0,2.28,2.0,32.0,4.0,3.7,26.0,1.0,9.0,2.7,-5.8,0.23,1.8,6.0,13.0,10.0,5.0,8.0,10.0,1.1,3.7,1.9,3.0,1.35,5.0,2.0,0.49,18.9,1.0,1.9,4.4,1.0,2.0,3.0,99.0,3.2,2.0,7.0,0.25,1.0,5.0,0.91,4.19,0.133,0.49,0.077,6.0,-1.0,1.0,1.0,2.0,8.0,2.4,1.0,0.41,18.0,0.0,3.4,8.2,2.0,6.0,1.0,2.8,2.0,2.9,3.4,3.1,0.073,0.0,1.0,-6.0,0.0,0.1,31.1,3.4
L-W,0.72,0.5,0.2,0.096,-5.0,-0.5,-18.0,-0.14,4.0,-5.0,0.1,0.048,-22.0,-0.7,-5.0,-0.14,-3.0,-0.58,-1.8,61.0,1.0,0.2,8.0,1.0,-8.0,0.2,-6.8,-0.12,-1.0,3.0,1.0,8.0,2.0,-29.0,11.0,-0.3,0.1,-3.0,0.1,1.37,2.0,-2.0,0.88,14.7,0.0,-0.9,0.3,1.0,-4.0,0.0,94.0,0.2,0.0,4.5,-0.15,-1.0,3.0,1.73,0.3,0.037000000000000005,0.22,0.002,4.0,-3.0,-2.0,-2.0,-2.0,-15.0,0.1,1.0,0.13,-15.0,-2.0,-1.2,2.3,-0.8,2.0,-1.0,1.0,-1.0,0.1,0.1,0.6,0.064,5.0,-4.0,-30.0,3.0,0.1,20.1,0.2
L-Y,0.79,0.7,0.8,0.044000000000000004,-6.0,-1.5,-2.0,-0.11,3.0,0.0,0.1,0.052000000000000005,-12.0,0.0,-3.0,0.7,-2.0,1.81,-0.7,36.0,0.0,0.8,16.0,2.0,-12.0,0.8,-6.6,-0.46,-2.4,2.0,2.0,9.0,0.0,-1.0,9.0,-1.6,0.6,-1.6,0.4,1.41,1.0,-1.0,0.57,17.9,0.0,-0.1,0.8,1.0,-2.0,0.0,87.0,1.1,0.0,5.2,-0.48,-2.0,3.0,0.94,0.07,0.057,0.17,0.011000000000000001,3.0,-13.0,-2.0,0.0,-1.0,-7.0,0.8,0.0,-0.27,-2.0,-3.0,0.8,3.8,0.5,-4.0,-1.0,1.3,-1.0,0.1,0.7,1.0,0.033,0.0,-2.0,-5.0,1.0,-0.7,22.3,0.5
M-A,1.2,2.8,4.4,0.026000000000000002,-4.0,0.0,-6.0,-0.78,2.0,-1.0,0.1,0.019,-4.0,-0.7,-2.0,-0.04,-1.0,0.16,-0.8,84.0,2.0,2.0,-2.0,2.0,1.0,0.0,-8.0,0.39,-1.5,1.0,1.0,9.0,2.0,2.0,11.0,-2.0,2.6,-0.2,0.1,0.97,0.0,-1.0,0.53,16.2,0.0,-0.8,3.1,0.0,-2.0,0.0,89.0,3.3,-1.0,4.5,0.43,0.0,3.0,2.42,-3.19,0.013000000000000001,0.15,0.02,4.0,-3.0,-1.0,-1.0,-1.0,1.0,0.4,1.0,-0.47,-9.0,-1.0,-0.2,4.3,1.0,-2.0,-1.0,1.3,-1.0,5.2,6.3,0.4,0.01,5.0,-2.0,-2.0,2.0,-0.2,11.2,1.2
M-C,1.36,0.4,0.8,0.0,-12.0,1.0,-17.0,-0.53,2.0,-7.0,0.1,0.0,3.0,-0.9,-6.0,1.04,-2.0,3.5,-2.5,196.0,1.0,0.4,2.0,3.0,-23.0,0.4,-8.7,-0.25,-4.4,1.0,-3.0,10.0,0.0,-17.0,10.0,-2.7,0.4,-3.7,0.2,0.97,2.0,-5.0,0.1,19.8,0.0,-1.2,0.6,0.0,-4.0,1.0,91.0,0.4,0.0,4.3,-0.29,-5.0,3.0,1.46,-1.06,0.0,0.1,0.0,3.0,4.0,-2.0,-2.0,-2.0,-28.0,0.1,1.0,-0.29,-8.0,-1.0,-1.3,3.6,-1.6,-9.0,-1.0,0.4,-1.0,0.5,0.1,0.9,0.0,0.0,-3.0,0.0,2.0,0.0,36.3,0.7
M-D,0.94,0.0,0.2,0.006,-9.0,-6.0,-13.0,-4.93,0.0,-9.0,0.1,0.004,-9.0,-3.0,-4.0,-2.58,-5.0,-7.88,-3.9,160.0,-2.0,1.3,-16.0,3.0,5.0,0.4,-8.2,-0.09,-5.9,-6.0,-7.0,4.0,-7.0,-7.0,5.0,-2.5,0.1,-4.3,0.1,0.93,-4.0,-3.0,1.34,15.5,-1.0,-3.2,0.4,0.0,-8.0,-6.0,21.0,0.1,-3.0,2.2,-0.08,-4.0,2.0,3.69,-8.13,0.004,-0.25,0.005,-1.0,-7.0,-5.0,-3.0,-3.0,-5.0,0.8,-1.0,-0.9,-30.0,-3.0,-2.8,-4.9,-0.5,-7.0,-4.0,0.1,-5.0,0.1,0.1,0.0,0.003,0.0,-6.0,-11.0,2.0,-0.1,-11.6,0.2
M-E,1.02,1.9,1.0,0.021,-6.0,-6.0,-12.0,-3.5,1.0,-7.0,0.3,0.037000000000000005,-7.0,-2.0,-4.0,-1.86,-5.0,-3.94,-3.4,126.0,-1.0,0.9,-17.0,2.0,5.0,0.6,-8.1,0.36,-2.8,0.0,-4.0,4.0,1.0,-5.0,8.0,-1.8,0.1,-4.1,1.7,0.96,-2.0,-2.0,1.02,15.2,-1.0,-2.2,0.1,0.0,-4.0,-3.0,27.0,1.3,-2.0,3.2,0.38,-2.0,1.0,3.13,-6.49,0.003,-0.14,0.023,-3.0,-5.0,-3.0,-2.0,-3.0,-3.0,0.1,-1.0,-0.87,-21.0,-3.0,-2.0,-2.5,0.6,-6.0,-3.0,0.1,-3.0,5.4,2.6,1.3,0.005,0.0,-4.0,-3.0,1.0,-0.4,-11.4,0.3
M-F,0.91,2.1,2.4,0.011000000000000001,-3.0,2.5,2.0,0.83,2.0,11.0,2.2,0.013999999999999999,8.0,1.6,-1.0,0.8,0.0,2.66,0.7,28.0,0.0,2.2,20.0,2.0,-2.0,0.6,-8.5,-0.02,-0.6,3.0,13.0,8.0,2.0,2.0,10.0,0.5,2.6,-0.1,3.0,1.21,3.0,0.0,0.74,20.2,0.0,1.3,3.1,2.0,0.0,4.0,98.0,1.8,1.0,6.8,-0.01,0.0,5.0,0.82,-0.91,0.016,0.22,0.037000000000000005,0.0,13.0,0.0,0.0,0.0,-1.0,0.1,2.0,0.35,2.0,0.0,1.7,5.2,-0.2,0.0,1.0,2.9,1.0,1.3,1.0,3.3,0.015,6.6,0.0,1.0,2.0,0.3,19.4,2.2
M-G,0.81,1.1,1.0,0.013000000000000001,-7.0,-1.5,-32.0,-2.97,1.0,-15.0,0.1,0.004,-6.0,-3.5,-4.0,-1.86,-1.0,-5.29,-3.8,127.0,0.0,0.6,-10.0,2.0,4.0,0.0,-8.2,-0.29,-5.2,-5.0,-11.0,8.0,-3.0,-2.0,4.0,-2.3,0.6,-3.7,0.1,1.18,-3.0,-3.0,1.07,15.0,-1.0,-3.5,0.5,0.0,-6.0,-3.0,85.0,1.1,-3.0,1.7,-0.3,-4.0,1.0,3.34,-7.84,0.006999999999999999,-0.01,0.02,1.0,-5.0,-4.0,-2.0,-3.0,2.0,0.1,0.0,-0.61,-30.0,-3.0,-3.8,-1.7,-0.4,-7.0,-4.0,0.1,-5.0,1.5,0.1,0.0,0.005,0.0,-5.0,-6.0,3.0,-0.4,-10.3,0.4
M-H,1.08,0.1,0.2,0.021,-9.0,-4.0,-5.0,-1.76,1.0,-4.0,1.0,0.019,-7.0,-1.3,-4.0,-1.04,-4.0,-3.66,-2.4,87.0,3.0,0.2,-8.0,3.0,3.0,0.8,-9.7,-0.08,-2.3,-2.0,-3.0,9.0,-1.0,-11.0,10.0,-1.8,0.1,-3.4,0.1,0.96,-1.0,-2.0,0.88,11.4,-1.0,-1.5,0.1,0.0,-2.0,1.0,60.0,0.1,-2.0,3.9,-0.06,-2.0,3.0,2.19,-4.34,0.0,-0.19,0.012,3.0,-5.0,-2.0,0.0,-2.0,-3.0,0.6,0.0,-0.86,-19.0,-3.0,-0.8,1.3,-1.2,-5.0,-2.0,0.6,-3.0,0.1,0.1,0.2,0.005,0.0,-4.0,-8.0,2.0,0.0,0.5,0.2
M-I,1.01,6.6,4.4,0.021,0.0,4.0,18.0,3.06,4.0,22.0,7.9,0.027000000000000003,12.0,2.5,1.0,0.99,3.0,2.94,3.1,10.0,4.0,5.5,18.0,1.0,3.0,6.5,-7.4,0.15,2.6,3.0,20.0,9.0,2.0,10.0,9.0,3.3,5.6,4.0,2.4,1.16,3.0,2.0,0.59,20.9,0.0,2.6,4.4,3.0,4.0,5.0,98.0,5.8,2.0,7.7,0.18,1.0,5.0,0.29,1.59,0.043,0.36,0.092,1.0,17.0,2.0,2.0,3.0,8.0,6.8,2.0,0.67,12.0,1.0,2.2,8.7,0.9,10.0,1.0,4.7,2.0,7.4,4.9,3.3,0.02,0.0,2.0,3.0,1.0,-1.3,25.5,5.1
M-K,0.99,1.8,1.4,0.006999999999999999,-1.0,-5.5,-11.0,-3.56,2.0,-10.0,1.0,0.0,-8.0,-1.4,0.0,-1.62,-6.0,-5.47,-2.0,95.0,0.0,0.8,-19.0,1.0,6.0,0.1,-8.2,0.05,-1.9,-5.0,-8.0,3.0,-4.0,-5.0,8.0,1.6,0.1,-2.9,0.8,1.03,-4.0,0.0,0.97,15.4,-1.0,-1.5,0.1,0.0,-4.0,-1.0,24.0,0.2,-1.0,3.8,0.09,-1.0,1.0,2.63,-5.99,0.013999999999999999,-0.16,0.031,1.0,-7.0,-2.0,-1.0,-2.0,-4.0,0.1,0.0,-1.03,-12.0,-1.0,-0.5,-2.5,0.4,-4.0,-2.0,0.8,-2.0,3.0,7.8,0.9,0.011000000000000001,5.0,-3.0,-3.0,1.0,-0.8,-11.2,0.3
M-L,1.08,7.7,7.5,0.031,1.0,4.0,13.0,4.06,5.0,24.0,9.1,0.048,8.0,2.8,3.0,1.61,2.0,4.32,3.2,15.0,6.0,9.2,24.0,1.0,2.0,9.4,-7.0,0.41,4.4,6.0,24.0,9.0,5.0,12.0,11.0,1.5,11.9,2.9,8.3,1.06,5.0,4.0,0.63,22.4,2.0,2.9,9.4,3.0,6.0,6.0,96.0,11.8,3.0,8.0,0.47,3.0,6.0,0.41,1.24,0.053,0.38,0.243,8.0,13.0,3.0,2.0,3.0,8.0,9.9,2.0,0.5,24.0,1.0,3.1,9.7,1.8,11.0,2.0,6.8,4.0,9.3,2.3,7.8,0.03,6.6,3.0,2.0,0.0,-0.2,22.4,12.2
M-N,1.01,0.2,0.4,0.01,-7.0,-3.0,-8.0,-3.44,1.0,-3.0,0.1,0.027000000000000003,-5.0,-2.2,-3.0,-2.01,-2.0,-4.67,-2.6,142.0,-3.0,0.2,-12.0,2.0,3.0,0.2,-7.4,-0.13,-3.7,-4.0,-1.0,8.0,-3.0,-3.0,6.0,0.1,0.5,-2.5,0.6,0.92,-3.0,-2.0,1.17,13.7,-1.0,-2.2,0.6,0.0,-4.0,-3.0,49.0,0.6,-2.0,3.0,-0.13,-2.0,2.0,3.08,-7.25,0.01,-0.11,0.013000000000000001,-1.0,-5.0,-3.0,-2.0,-2.0,-2.0,0.1,0.0,-0.97,-19.0,-2.0,-2.1,-2.2,0.0,-6.0,-3.0,0.1,-3.0,3.2,0.1,0.1,0.004,0.0,-4.0,0.0,2.0,0.2,-8.8,0.3
M-P,0.59,0.1,0.5,0.002,-7.0,-5.0,-25.0,-3.5,2.0,-15.0,1.7,0.0,-8.0,-2.4,-3.0,-1.09,-5.0,-2.02,-2.0,87.0,0.0,0.1,-10.0,2.0,-16.0,0.1,-8.8,-0.31,-9.8,-9.0,-11.0,10.0,-10.0,6.0,2.0,-1.4,0.1,-1.8,0.1,1.34,-6.0,-2.0,1.28,11.6,-1.0,-2.4,0.7,0.0,-6.0,-3.0,78.0,0.0,-2.0,2.8,-0.32,-6.0,1.0,2.36,-6.45,0.0,-0.17,0.016,-17.0,-10.0,-4.0,-2.0,-2.0,0.0,0.1,1.0,-0.82,-21.0,-3.0,-1.9,-2.8,-1.2,-4.0,-3.0,0.1,-4.0,0.1,0.1,0.0,0.003,0.0,-4.0,-1.0,3.0,-0.2,-8.7,0.1
M-Q,1.1,1.1,2.7,0.031,-3.0,-1.5,-5.0,-1.56,2.0,-2.0,0.1,0.07200000000000001,-2.0,-1.0,-1.0,-0.13,-1.0,-1.76,-1.7,101.0,0.0,1.0,-12.0,2.0,4.0,0.3,-8.5,0.22,-0.6,-3.0,0.0,8.0,-2.0,-5.0,9.0,-1.2,1.1,-3.1,0.1,0.97,-2.0,-1.0,0.79,17.8,-1.0,-1.0,2.8,0.0,0.0,0.0,53.0,1.6,-1.0,4.2,0.22,1.0,3.0,2.3,-5.56,0.018000000000000002,-0.18,0.005,-1.0,0.0,-1.0,0.0,-2.0,-3.0,0.1,1.0,-0.97,1.0,-2.0,-0.6,1.2,1.2,-8.0,-2.0,0.1,-1.0,2.0,2.7,0.2,0.017,5.0,-1.0,-1.0,1.0,-0.5,-7.7,0.6
M-R,0.97,0.7,1.9,0.002,-3.0,-4.0,-6.0,-2.55,2.0,-2.0,0.1,0.0,-2.0,-1.7,-1.0,-0.63,-6.0,-1.43,-2.1,91.0,0.0,0.8,0.0,1.0,3.0,0.0,-7.8,-0.1,-4.2,-2.0,0.0,3.0,-1.0,2.0,6.0,-0.4,0.1,-3.0,1.0,1.14,-2.0,0.0,0.74,15.5,-1.0,-1.8,0.1,0.0,-4.0,0.0,2.0,0.3,-1.0,3.5,-0.09,-4.0,1.0,2.29,-5.33,0.004,-0.17,0.019,-5.0,0.0,-2.0,-1.0,-2.0,2.0,0.1,0.0,-0.83,-10.0,0.0,-1.4,-0.4,1.1,-8.0,-2.0,0.8,-2.0,4.3,3.2,1.2,0.005,9.0,-3.0,2.0,1.0,-0.1,-5.6,0.2
M-S,0.59,1.4,1.9,0.006999999999999999,-5.0,-1.0,-18.0,-3.15,1.0,-7.0,0.1,0.009000000000000001,-4.0,-1.4,-2.0,-1.34,-2.0,-3.92,-1.5,135.0,-4.0,0.6,-10.0,2.0,-2.0,0.5,-7.5,-0.48,-4.8,-5.0,-4.0,8.0,-5.0,-2.0,7.0,-1.3,0.1,-1.3,0.1,1.15,-3.0,-2.0,0.79,14.7,-1.0,-1.4,0.1,0.0,-4.0,-2.0,83.0,1.0,-1.0,3.8,-0.53,-4.0,2.0,2.67,-7.27,0.003,-0.17,0.017,-3.0,-3.0,-2.0,-2.0,-1.0,-3.0,1.4,0.0,-0.75,-10.0,-2.0,-1.1,-1.0,0.6,-7.0,-2.0,0.1,-3.0,2.4,3.9,0.1,0.003,0.0,-3.0,0.0,1.0,-0.2,-4.2,0.1
M-T,0.96,2.7,2.5,0.013000000000000001,-3.0,1.5,-9.0,-2.07,3.0,-4.0,6.3,0.018000000000000002,0.0,-0.6,-1.0,-1.58,0.0,-5.18,0.1,81.0,2.0,1.7,-8.0,1.0,3.0,3.0,-7.3,-0.31,-3.2,-3.0,-2.0,9.0,-4.0,2.0,8.0,0.7,2.7,0.6,0.1,1.11,-2.0,-1.0,0.83,16.9,0.0,-0.4,2.5,0.0,-2.0,2.0,86.0,3.1,0.0,4.6,-0.35,-2.0,3.0,1.86,-6.08,0.01,-0.02,0.023,3.0,2.0,-1.0,-1.0,0.0,2.0,0.1,0.0,-0.61,-7.0,0.0,-0.3,0.9,0.8,-3.0,-1.0,1.1,-1.0,4.3,2.2,0.7,0.006999999999999999,0.0,-1.0,1.0,1.0,0.1,-5.7,0.4
M-V,1.02,3.5,3.2,0.019,-1.0,2.5,12.0,1.8,4.0,15.0,2.2,0.02,6.0,1.6,1.0,0.61,1.0,1.18,2.5,21.0,1.0,3.4,10.0,1.0,-5.0,4.5,-7.2,0.08,0.7,1.0,14.0,10.0,0.0,7.0,9.0,1.0,2.9,3.3,3.5,1.22,2.0,2.0,0.44,19.1,0.0,1.8,3.6,1.0,2.0,3.0,95.0,4.1,2.0,6.8,0.11,0.0,4.0,0.62,0.2,0.018000000000000002,0.23,0.073,3.0,7.0,1.0,1.0,2.0,2.0,6.5,1.0,0.41,10.0,1.0,1.7,7.2,0.8,6.0,1.0,1.8,1.0,6.0,4.2,2.9,0.013000000000000001,0.0,1.0,3.0,0.0,-1.0,25.7,4.2
M-W,0.75,0.8,0.1,0.006,-11.0,-0.5,-20.0,-0.25,3.0,4.0,0.1,0.013999999999999999,-11.0,-1.0,-7.0,0.87,-4.0,4.28,-2.8,67.0,3.0,0.2,12.0,2.0,-15.0,0.2,-7.2,-0.19,-0.9,2.0,9.0,7.0,2.0,-21.0,10.0,-2.0,0.9,-4.4,0.1,1.35,1.0,-4.0,0.83,18.5,0.0,-1.3,0.1,1.0,-2.0,3.0,91.0,0.7,-2.0,4.2,-0.19,-2.0,1.0,1.89,-1.1,0.021,0.16,0.001,0.0,-14.0,-2.0,-2.0,-3.0,-20.0,0.1,2.0,0.04,-8.0,-2.0,-0.6,2.7,-1.3,-4.0,0.0,0.1,-4.0,0.1,0.1,0.4,0.004,6.6,-3.0,-12.0,3.0,0.2,17.3,0.4
M-Y,0.86,0.8,0.1,0.006,-10.0,-1.5,1.0,-0.27,2.0,3.0,0.1,0.017,-12.0,-0.2,-4.0,-0.41,-2.0,-4.95,-1.8,36.0,1.0,0.2,8.0,3.0,2.0,0.1,-7.9,-0.31,-1.3,2.0,4.0,8.0,1.0,-4.0,8.0,-2.9,0.1,-3.6,0.1,1.23,1.0,-2.0,0.84,20.0,0.0,-0.5,0.5,1.0,0.0,1.0,83.0,0.2,-1.0,5.0,-0.33,-1.0,2.0,0.93,-1.77,0.021,0.07,0.013999999999999999,4.0,-19.0,-1.0,0.0,-2.0,-3.0,0.1,0.0,-0.56,-9.0,-3.0,0.5,4.1,-0.2,-3.0,0.0,2.8,-2.0,0.1,0.1,1.3,0.008,0.0,-3.0,-2.0,1.0,-0.1,19.0,0.1
N-A,1.28,1.8,0.2,0.016,-3.0,-3.0,5.0,-1.9,3.0,2.0,1.6,0.011000000000000001,1.0,-0.3,0.0,-0.57,-2.0,-1.77,0.0,111.0,0.0,1.8,-8.0,2.0,6.0,1.0,-7.1,-0.29,-1.4,0.0,2.0,9.0,1.0,-2.0,9.0,-1.7,3.2,0.0,1.0,0.71,0.0,0.0,0.95,17.1,0.0,-0.2,0.1,0.0,-2.0,0.0,60.0,1.8,0.0,4.9,-0.31,-1.0,3.0,1.78,-5.77,0.031,-0.14,0.028999999999999998,0.0,-1.0,-2.0,-1.0,0.0,1.0,0.1,0.0,-0.16,-19.0,-1.0,1.1,1.5,1.3,0.0,-2.0,1.7,-1.0,0.2,2.1,1.5,0.040999999999999995,0.0,-3.0,4.0,2.0,-0.5,4.0,2.0
N-C,1.36,0.4,0.1,0.0,-9.0,-2.5,-11.0,-2.83,2.0,-9.0,0.5,0.0,1.0,-1.8,-5.0,-2.08,-2.0,-6.53,-1.9,139.0,-1.0,0.3,-7.0,2.0,5.0,0.7,-8.6,0.04,-7.6,-5.0,-7.0,8.0,-4.0,6.0,9.0,-1.5,0.6,-1.6,0.1,0.72,-5.0,-4.0,0.7,14.7,0.0,-1.8,0.1,0.0,-4.0,0.0,58.0,0.2,-1.0,3.4,0.04,-6.0,1.0,2.83,-9.21,0.006999999999999999,-0.14,0.001,-4.0,1.0,-4.0,-2.0,-1.0,-5.0,0.4,0.0,-0.46,-30.0,-1.0,-1.9,-0.3,-1.6,-13.0,-3.0,0.5,-3.0,0.1,0.1,0.4,0.006999999999999999,0.0,-5.0,4.0,3.0,0.2,23.5,0.6
N-D,1.08,6.4,7.6,0.092,2.0,-0.5,8.0,3.48,5.0,5.0,5.5,0.071,7.0,2.2,2.0,1.78,2.0,4.07,2.4,23.0,1.0,5.4,32.0,1.0,18.0,4.8,-6.3,0.3,2.6,12.0,4.0,6.0,16.0,9.0,11.0,1.7,3.8,2.5,5.0,0.69,8.0,2.0,1.52,21.4,1.0,2.2,4.2,3.0,4.0,5.0,73.0,3.7,2.0,7.4,0.35,2.0,5.0,0.65,3.2,0.057,0.56,0.09699999999999999,2.0,4.0,2.0,2.0,2.0,13.0,3.0,0.0,0.2,18.0,6.0,3.3,1.9,0.8,5.0,1.0,6.4,3.0,3.3,11.8,6.7,0.08,9.0,2.0,11.0,-1.0,-1.3,-4.8,3.1
N-E,1.21,2.7,0.3,0.044000000000000004,-1.0,-4.5,8.0,1.27,3.0,3.0,3.2,0.011000000000000001,5.0,0.9,1.0,-0.16,0.0,-0.39,1.2,42.0,0.0,2.0,13.0,2.0,22.0,2.8,-6.5,-0.24,-0.7,8.0,2.0,6.0,10.0,0.0,10.0,0.3,2.5,1.1,0.2,0.74,6.0,1.0,1.04,20.0,0.0,1.0,0.1,1.0,0.0,0.0,79.0,3.7,1.0,6.1,-0.27,0.0,4.0,0.85,0.31,0.035,0.13,0.046,2.0,1.0,0.0,0.0,1.0,8.0,0.1,0.0,0.19,3.0,1.0,2.3,0.6,1.4,1.0,0.0,1.7,0.0,4.9,0.1,1.6,0.040999999999999995,0.0,-1.0,5.0,0.0,-1.9,-9.2,0.9
N-F,0.83,0.4,0.1,0.003,-8.0,-2.0,-19.0,-4.64,1.0,-14.0,0.3,0.005,-22.0,-3.1,-4.0,-2.25,-1.0,-6.22,-3.5,158.0,1.0,0.1,-23.0,2.0,-6.0,0.2,-8.2,-0.13,-3.8,-9.0,-11.0,6.0,-9.0,-8.0,6.0,-1.3,0.1,-3.5,0.3,1.11,-6.0,-4.0,1.19,11.4,-1.0,-3.2,0.1,0.0,-8.0,-1.0,47.0,0.5,-3.0,2.1,-0.12,-3.0,0.0,3.7,-7.97,0.01,-0.33,0.008,1.0,-18.0,-4.0,-2.0,-3.0,-9.0,0.1,-1.0,-0.71,-29.0,-4.0,-2.5,-1.9,0.4,-3.0,-4.0,0.3,-5.0,1.0,0.3,0.2,0.022000000000000002,0.0,-6.0,-15.0,2.0,-0.4,7.8,0.1
N-G,0.96,2.8,1.3,0.018000000000000002,-2.0,-3.0,5.0,0.93,3.0,-2.0,2.2,0.006999999999999999,6.0,0.4,0.0,0.79,-1.0,1.16,0.4,80.0,2.0,2.5,10.0,2.0,6.0,2.3,-6.8,0.37,-1.4,7.0,-4.0,10.0,8.0,-4.0,10.0,-2.6,1.4,-0.1,3.5,0.71,5.0,0.0,1.8,18.1,0.0,0.4,1.2,0.0,0.0,1.0,64.0,0.9,0.0,5.6,0.4,-1.0,3.0,1.96,-0.51,0.026000000000000002,0.22,0.051,3.0,4.0,-1.0,0.0,0.0,0.0,2.5,0.0,-0.11,7.0,-2.0,0.7,0.5,0.2,1.0,-1.0,4.4,0.0,0.1,1.8,4.2,0.044000000000000004,0.0,-1.0,7.0,0.0,-0.4,-7.6,2.5
